Title	Journal Name	DOI		
Association of imputed prostate cancer transcriptome with disease risk reveals novel mechanisms	Nature Communications	10.1038/s41467-019-10808-7		
Terminator-free template-independent enzymatic DNA synthesis for digital information storage	Nature Communications	10.1038/s41467-019-10258-1		
Defective homologous recombination DNA repair as therapeutic target in advanced chordoma	Nature Communications	10.1038/s41467-019-09633-9		
Enhancer hijacking activates oncogenic transcription factor NR4A3 in acinic cell carcinomas of the salivary glands	Nature Communications	10.1038/s41467-018-08069-x		
CRISPR analysis suggests that small circular single-stranded DNA smacoviruses infect Archaea instead of humans	Nature Communications	10.1038/s41467-018-08167-w		
Fecal pollution can explain antibiotic resistance gene abundances in anthropogenically impacted environments	Nature Communications	10.1038/s41467-018-07992-3		
Machine learning applied to enzyme turnover numbers reveals protein structural correlates and improves metabolic models	Nature Communications	10.1038/s41467-018-07652-6		
Chromatin interactions and expression quantitative trait loci reveal genetic drivers of multimorbidities	Nature Communications	10.1038/s41467-018-07692-y		
The essential genome of the crenarchaeal model Sulfolobus islandicus	Nature Communications	10.1038/s41467-018-07379-4		
A chromosome-scale assembly of the sorghum genome using nanopore sequencing and optical mapping	Nature Communications	10.1038/s41467-018-07271-1		
Evolution of gene knockout strains of E. coli reveal regulatory architectures governed by metabolism	Nature Communications	10.1038/s41467-018-06219-9		
Dedicated surveillance mechanism controls G-quadruplex forming non-coding RNAs in human mitochondria	Nature Communications	10.1038/s41467-018-05007-9		
Global profiling of protein–DNA and protein–nucleosome binding affinities using quantitative mass spectrometry	Nature Communications	10.1038/s41467-018-04084-0		
A complex epistatic network limits the mutational reversibility in the influenza hemagglutinin receptor-binding site	Nature Communications	10.1038/s41467-018-03663-5		
Assembly of 913 microbial genomes from metagenomic sequencing of the cow rumen	Nature Communications	10.1038/s41467-018-03317-6		
Clonally diverse CD38+HLA-DR+CD8+ T cells persist during fatal H7N9 disease	Nature Communications	10.1038/s41467-018-03243-7		
Biochemical mechanisms determine the functional compatibility of heterologous genes	Nature Communications	10.1038/s41467-018-02944-3		
Incomplete prophage tolerance by type III-A CRISPR-Cas systems reduces the fitness of lysogenic hosts	Nature Communications	10.1038/s41467-017-02557-2		
RNA degradation by the plant RNA exosome involves both phosphorolytic and hydrolytic activities	Nature Communications	10.1038/s41467-017-02066-2		
Post-transcriptional gene silencing mediated by microRNAs is controlled by nucleoplasmic Sfpq	Nature Communications	10.1038/s41467-017-01126-x		
Sox5 regulates beta-cell phenotype and is reduced in type 2 diabetes	Nature Communications	10.1038/ncomms15652		
BLISS is a versatile and quantitative method for genome-wide profiling of DNA double-strand breaks	Nature Communications	10.1038/ncomms15058		
Characterization of the interplay between DNA repair and CRISPR/Cas9-induced DNA lesions at an endogenous locus	Nature Communications	10.1038/ncomms13905		
Rapid construction of a whole-genome transposon insertion collection for Shewanella oneidensis by Knockout Sudoku	Nature Communications	10.1038/ncomms13270		
Multi-omic data integration enables discovery of hidden biological regularities	Nature Communications	10.1038/ncomms13091		
A SAM oligomerization domain shapes the genomic binding landscape of the LEAFY transcription factor	Nature Communications	10.1038/ncomms11222		
Signal transduction in light–oxygen–voltage receptors lacking the adduct-forming cysteine residue	Nature Communications	10.1038/ncomms10079		
De novo assembly and next-generation sequencing to analyse full-length gene variants from codon-barcoded libraries	Nature Communications	10.1038/ncomms9351		
Diversification of bacterial genome content through distinct mechanisms over different timescales	Nature Communications	10.1038/ncomms6471		
Protein interaction network of alternatively spliced isoforms from brain links genetic risk factors for autism	Nature Communications	10.1038/ncomms4650		
Historical contingency shapes adaptive radiation in Antarctic fishes	Nature ecology & evolution	10.1038/s41559-019-0914-2		
Inferring whole-genome histories in large population datasets	Nature genetics	10.1038/s41588-019-0483-y		Newick
Rational targeting of a NuRD subcomplex guided by comprehensive in situ mutagenesis	Nature genetics	10.1038/s41588-019-0453-4		
Functional classification of long non-coding RNAs by kmer content	Nature genetics	10.1038/s41588-018-0207-8		
Identification of significantly mutated regions across cancer types highlights a rich landscape of functional molecular alterations	Nature genetics	10.1038/ng.3471		
A cooperative microRNA-tumor suppressor gene network in acute T-cell lymphoblastic leukemia (T-ALL)	Nature genetics	10.1038/ng.858		
Quantifying spatiotemporal variability and noise in absolute microbiota abundances using replicate sampling	Nature methods	10.1038/s41592-019-0467-y		pairwise2
Unified rational protein engineering with sequence-based deep representation learning	Nature methods	10.1038/s41592-019-0598-1		
SABER enables amplified and multiplexed imaging of RNA and DNA in cells and tissues	Nature methods	10.1038/s41592-019-0404-0		
Detecting overlapping protein complexes in protein-protein interaction networks	Nature methods	10.1038/nmeth.1938		
High Resolution Mapping of Protein Sequence–Function Relationships	Nature methods	10.1038/nmeth.1492		
A metabolic pathway for catabolizing levulinic acid in bacteria	Nature microbiology	10.1038/s41564-017-0028-z		BLAST
Bacteriophage evolution differs by host, lifestyle and genome	Nature microbiology	10.1038/nmicrobiol.2017.112		
Using BEAN-counter to quantify genetic interactions from multiplexed barcode sequencing experiments	Nature protocols	10.1038/s41596-018-0099-1		
PhIP-Seq Characterization of Serum Antibodies Using Oligonucleotide Encoded Peptidomes	Nature protocols	10.1038/s41596-018-0025-6		
Genome-scale CRISPR-Cas9 Knockout and Transcriptional Activation Screening	Nature protocols	10.1038/nprot.2017.016		
Detecting ultralow-frequency mutations by Duplex Sequencing	Nature protocols	10.1038/nprot.2014.170		
Small-molecule ligand docking into comparative models with Rosetta	Nature protocols	10.1038/nprot.2013.074		
Identification of Exo1-Msh2-interaction motifs in DNA mismatch repair and new Msh2-binding partners	Nature structural & molecular biology	10.1038/s41594-018-0092-y		
A Genome-Wide Map of AAV-Mediated Human Gene Targeting	Nature structural & molecular biology	10.1038/nsmb.2895		
An alternative mode of microRNA target recognition	Nature structural & molecular biology	10.1038/nsmb.2230		
